frame,timestamp,stroke,confidence
0,0.0,Neutral,0.98
1,0.03333333333333333,Neutral,0.98
2,0.06666666666666667,Neutral,1.0
3,0.1,Neutral,0.93
4,0.13333333333333333,Neutral,0.95
5,0.16666666666666666,Neutral,0.97
6,0.2,Neutral,0.97
7,0.23333333333333334,Neutral,0.98
8,0.26666666666666666,Neutral,0.96
9,0.3,Neutral,0.96
10,0.3333333333333333,Neutral,0.99
11,0.36666666666666664,Neutral,0.97
12,0.4,Neutral,0.97
13,0.43333333333333335,Neutral,0.97
14,0.4666666666666667,Neutral,0.97
15,0.5,Neutral,0.97
16,0.5333333333333333,Neutral,0.98
17,0.5666666666666667,Neutral,0.96
18,0.6,Neutral,0.99
19,0.6333333333333333,Neutral,0.93
20,0.6666666666666666,Neutral,0.95
21,0.7,Neutral,0.96
22,0.7333333333333333,Neutral,0.91
23,0.7666666666666667,Serve,0.79
24,0.8,Serve,0.86
25,0.8333333333333334,Serve,0.97
26,0.8666666666666667,Serve,1.0
27,0.9,Serve,1.0
28,0.9333333333333333,Serve,0.96
29,0.9666666666666667,Serve,0.99
30,1.0,Serve,0.99
31,1.0333333333333334,Serve,0.99
32,1.0666666666666667,Serve,0.9
33,1.1,Serve,0.83
34,1.1333333333333333,Serve,0.88
35,1.1666666666666667,Serve,0.71
36,1.2,Serve,0.84
37,1.2333333333333334,Serve,0.89
38,1.2666666666666666,Serve,0.91
39,1.3,Serve,0.9
40,1.3333333333333333,Serve,0.89
41,1.3666666666666667,Serve,0.96
42,1.4,Serve,0.95
43,1.4333333333333333,Serve,0.91
44,1.4666666666666666,Serve,0.94
45,1.5,Serve,0.96
46,1.5333333333333334,Serve,0.95
47,1.5666666666666667,Serve,0.85
48,1.6,Serve,0.79
49,1.6333333333333333,Serve,0.87
50,1.6666666666666667,Serve,0.89
51,1.7,Serve,0.86
52,1.7333333333333334,Serve,0.77
53,1.7666666666666666,Serve,0.91
54,1.8,Serve,0.7
55,1.8333333333333333,Serve,0.7
56,1.8666666666666667,Serve,0.88
57,1.9,Serve,0.82
58,1.9333333333333333,Serve,0.89
59,1.9666666666666666,Serve,0.65
60,2.0,Serve,0.7
61,2.033333333333333,Serve,0.84
62,2.066666666666667,Serve,0.82
63,2.1,Serve,0.93
64,2.1333333333333333,Serve,0.85
65,2.1666666666666665,Serve,0.94
66,2.2,Serve,0.88
67,2.2333333333333334,Serve,0.72
68,2.2666666666666666,Serve,0.72
69,2.3,Neutral,0.85
70,2.3333333333333335,Neutral,0.84
71,2.3666666666666667,Neutral,0.85
72,2.4,Neutral,0.54
73,2.433333333333333,Forehand,0.84
74,2.466666666666667,Forehand,0.93
75,2.5,Forehand,0.96
76,2.533333333333333,Forehand,1.0
77,2.566666666666667,Forehand,0.99
78,2.6,Forehand,0.98
79,2.6333333333333333,Forehand,0.97
80,2.6666666666666665,Forehand,1.0
81,2.7,Forehand,0.97
82,2.7333333333333334,Forehand,0.93
83,2.7666666666666666,Forehand,0.6
84,2.8,Forehand,0.5
85,2.8333333333333335,Forehand,0.83
86,2.8666666666666667,Forehand,0.91
