frame,timestamp,stroke,confidence
1,0.03333333333333333,Serve,0.4
2,0.06666666666666667,Neutral,0.43
3,0.1,Neutral,0.42
4,0.13333333333333333,Neutral,0.43
5,0.16666666666666666,Neutral,0.43
6,0.2,Neutral,0.43
7,0.23333333333333334,Neutral,0.42
8,0.26666666666666666,Neutral,0.43
9,0.3,Neutral,0.43
10,0.3333333333333333,Neutral,0.43
11,0.36666666666666664,Neutral,0.43
12,0.4,Neutral,0.43
13,0.43333333333333335,Neutral,0.43
14,0.4666666666666667,Neutral,0.43
15,0.5,Neutral,0.43
16,0.5333333333333333,Neutral,0.43
17,0.5666666666666667,Neutral,0.43
18,0.6,Neutral,0.43
19,0.6333333333333333,Neutral,0.43
20,0.6666666666666666,Neutral,0.44
21,0.7,Neutral,0.43
22,0.7333333333333333,Neutral,0.43
23,0.7666666666666667,Neutral,0.43
24,0.8,Neutral,0.43
25,0.8333333333333334,Neutral,0.43
26,0.8666666666666667,Neutral,0.43
27,0.9,Neutral,0.44
28,0.9333333333333333,Neutral,0.43
29,0.9666666666666667,Neutral,0.43
30,1.0,Neutral,0.43
31,1.0333333333333334,Neutral,0.43
32,1.0666666666666667,Neutral,0.43
33,1.1,Neutral,0.43
34,1.1333333333333333,Neutral,0.43
35,1.1666666666666667,Neutral,0.43
36,1.2,Neutral,0.43
37,1.2333333333333334,Neutral,0.44
38,1.2666666666666666,Neutral,0.43
39,1.3,Neutral,0.43
40,1.3333333333333333,Neutral,0.43
41,1.3666666666666667,Serve,0.4
42,1.4,Serve,0.48
43,1.4333333333333333,Serve,0.44
44,1.4666666666666666,Serve,0.44
45,1.5,Neutral,0.42
46,1.5333333333333334,Serve,0.43
47,1.5666666666666667,Serve,0.47
48,1.6,Serve,0.46
49,1.6333333333333333,Serve,0.48
50,1.6666666666666667,Neutral,0.43
51,1.7,Neutral,0.37
52,1.7333333333333334,Neutral,0.38
53,1.7666666666666666,Neutral,0.4
54,1.8,Neutral,0.4
55,1.8333333333333333,Neutral,0.41
56,1.8666666666666667,Neutral,0.36
57,1.9,Neutral,0.35
58,1.9333333333333333,Neutral,0.39
59,1.9666666666666666,Neutral,0.4
60,2.0,Neutral,0.4
61,2.033333333333333,Neutral,0.43
62,2.066666666666667,Neutral,0.42
63,2.1,Neutral,0.41
64,2.1333333333333333,Neutral,0.41
65,2.1666666666666665,Neutral,0.42
66,2.2,Neutral,0.44
67,2.2333333333333334,Neutral,0.43
68,2.2666666666666666,Neutral,0.43
69,2.3,Neutral,0.42
70,2.3333333333333335,Neutral,0.45
71,2.3666666666666667,Neutral,0.46
72,2.4,Neutral,0.45
73,2.433333333333333,Neutral,0.5
112,3.7333333333333334,Neutral,0.48
113,3.7666666666666666,Neutral,0.51
114,3.8,Neutral,0.5
115,3.8333333333333335,Neutral,0.47
116,3.8666666666666667,Neutral,0.47
117,3.9,Neutral,0.53
118,3.933333333333333,Neutral,0.43
119,3.966666666666667,Neutral,0.4
120,4.0,Neutral,0.59
121,4.033333333333333,Neutral,0.56
122,4.066666666666666,Neutral,0.6
123,4.1,Neutral,0.66
124,4.133333333333334,Neutral,0.78
125,4.166666666666667,Neutral,0.74
126,4.2,Neutral,0.64
127,4.233333333333333,Neutral,0.65
128,4.266666666666667,Neutral,0.69
129,4.3,Neutral,0.62
130,4.333333333333333,Neutral,0.66
131,4.366666666666666,Neutral,0.66
132,4.4,Neutral,0.65
133,4.433333333333334,Neutral,0.48
134,4.466666666666667,Neutral,0.54
135,4.5,Neutral,0.53
136,4.533333333333333,Neutral,0.49
137,4.566666666666666,Neutral,0.49
138,4.6,Neutral,0.49
139,4.633333333333334,Neutral,0.51
140,4.666666666666667,Neutral,0.47
141,4.7,Neutral,0.46
142,4.733333333333333,Neutral,0.56
143,4.766666666666667,Neutral,0.61
144,4.8,Neutral,0.7
145,4.833333333333333,Neutral,0.69
146,4.866666666666666,Neutral,0.68
147,4.9,Neutral,0.62
148,4.933333333333334,Neutral,0.66
149,4.966666666666667,Neutral,0.79
150,5.0,Neutral,0.71
151,5.033333333333333,Neutral,0.66
